name,brand,sku,price,currency,pack_size,availability,category_path,url,description,image_urls,specifications,extraction_method,extraction_confidence,fields_via_llm,extracted_at
DentalProX VeraGraft™ Dental Powder,DentalProX,PFWVG,28.99,USD,,in_stock,"[""Sutures & Surgical Products""]",https://www.safcodental.com/product/dentalprox-veragraft-trade-dental-powder,"Safe alternative to an autograft with no need for a second surgical siteOsteoconductiveUsed for volumetric enhancement, space maintenance, and faster remodelingSterile ground dental powder is available in cortical, cancellous and a cortical/cancellous mix.Validated to a sterility assurance level (SAL) of 10(-6) in accordance with ISO 11137-2 Method 1.","[""https://www.safcodental.com/media/catalog/product/p/f/pfwvg.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700""]",{},selector,1.0,[],2026-05-05T20:29:51.484375Z
R.T.R. Membrane,Septodont,PFWRX,108.99,USD,,in_stock,"[""Sutures & Surgical Products""]",https://www.safcodental.com/product/r-t-r-membrane,"Biocompatible Type I bovine Achilles tendon collagen. The absorbable, implantable material creates a barrier to protect PDL development from fast growing tissues. Supports wound stabilization and allows essential nutrients to pass through.Indicated for GTR procedures.Absorbable within 4-8 weeks.Appears white in the dry state; translucent and non-slippery when wet.Cut to size and shape.","[""https://www.safcodental.com/media/catalog/product/p/f/pfwrx.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700""]",{},selector,1.0,[],2026-05-05T20:29:53.536867Z
R.T.R.+ Syringe,Septodont,PFWRU,152.99,USD,,in_stock,"[""Sutures & Surgical Products""]",https://www.safcodental.com/product/r-t-r-syringe,"Sterile and fully resorbable synthetic bone grafting material. Ideal osteogenic matrix mimics human bone. Available in 2 biphasic β-TCP (β-Tricalcium phosphate) / Hydroxyapatite formulations:40%/60%: New bone formation gradually forms at the same pace as natural bone.80%/20%: New natural bone will generate at an accelerated pace.Indications include: post-extraction socket preservation, periodontal defects, infrabony defects, peri-implant defects, sinus lift, ridge augmentation, and cystic cavities.","[""https://www.safcodental.com/media/catalog/product/p/f/pfwru.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700""]",{},selector,1.0,[],2026-05-05T20:29:55.257747Z
HeliMend™ and HeliMend™ Advanced,Integra Miltex,PFWQP,102.59,USD,,in_stock,"[""Sutures & Surgical Products""]",https://www.safcodental.com/product/helimend-trade-and-helimend-trade-advanced,"Please note: These products are on backorder with indefinite delivery.Safco will not be accepting orders for these products until inventory is received.Absorbable collagen membranes made from purified bovine tendon. Provides wound stabilization and creates space during guided tissue regeneration where a longer absorption rate is desired. Material is pliable and does not become slippery when hydrated.Indicated for guided tissue regeneration procedures in periodontal defects to enhance regeneration of the periodontal apparatus. Sterile, individually packed (1 per box).HeliMend– Absorbs in 4 to 8 weeks.HeliMend Advanced– Absorbs in 18 weeks.","[""https://www.safcodental.com/media/catalog/product/p/f/pfwqp.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700""]",{},selector,1.0,[],2026-05-05T20:29:57.479399Z
Guidor® easy-graft® Classic,Collagen Matrix Inc,PFWQJ,236.99,USD,,in_stock,"[""Sutures & Surgical Products""]",https://www.safcodental.com/product/guidor-reg-e-em-asy-graft-reg-em-classic,"Synthetic particulate bone grafting material designed to be syringed directly into the bone defect. Hardens into a stable, porous scaffold in approximately one minute, eliminating the need for a dental membrane in many cases. Fully resorbable.","[""https://www.safcodental.com/media/catalog/product/p/f/pfwqj.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700""]",{},selector,1.0,[],2026-05-05T20:29:59.495181Z
COLLASHIELD™ Collagen Membrane,Surgical Esthetics,PFWCC,128.99,USD,,in_stock,"[""Sutures & Surgical Products""]",https://www.safcodental.com/product/collashield-trade-collagen-membrane,"Fully resorbable (16 weeks) purified porcine Type-I peritoneum membrane for osteogenesis during extraction socket preservation, ridge augmentation, periodontal defect repair or other grafting procedures.Common uses:Extraction ridge preservation.Periodontal defect repair.Vertical and horizontal ridge augmentation.Bone regeneration around teeth and implants.Sinus augmentation.Membrane technique utilizing tacks.Features and benefits:Highly purified porcine peritoneum tissue.Excellent biocompatibility.Easily trimmed and adapted to defect site.Mechanically strong, yet drapable.Fully absorbable.Cell occlusive - inhibits undesired epithelial ingrowth.Can be tacked or sutured in place.","[""https://www.safcodental.com/media/catalog/product/p/f/pfwcc.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700""]",{},selector,1.0,[],2026-05-05T20:30:01.553963Z
Coldstar Disposable Instant Non-Insulated Cold Pack,Coldstar,PFVJJ,20.99,USD,,in_stock,"[""Sutures & Surgical Products""]",https://www.safcodental.com/product/coldstar-disposable-instant-non-insulated-cold-pack,"Use in first aid treatment of: Bumps and Bruises, Sprains, Fractures, Minor Burns, Snake Bites, Insect Bites, Minor Bleeding, Nosebleeds, Headaches, Toothaches, Fever, Backaches, Sunstroke, Dislocations, Fatigue, Itching, Cramping, etc.Squeeze, Shake, ApplyInstantly ColdFDA ApprovedSuperior QualityReaches therapeutic controlled temp every timeSafeTime savingProvides maximum efficiencyNon smear printMade in the USA","[""https://www.safcodental.com/media/catalog/product/p/f/pfvjj.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700""]",{},selector,1.0,[],2026-05-05T20:30:03.533303Z
Instant Cold Pack,Halyard,PFVGG,22.99,USD,,in_stock,"[""Sutures & Surgical Products""]",https://www.safcodental.com/product/instant-cold-pack,Flexible single use cold pack provides 20 minutes of therapy. Squeeze to activate; no need for refrigeration. Plastic outer wrap.,"[""https://www.safcodental.com/media/catalog/product/p/f/pfvgg.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700""]",{},selector,1.0,[],2026-05-05T20:30:05.514456Z
HYBENX®,Epien Medical,PFSPP,133.79,USD,,in_stock,"[""Sutures & Surgical Products""]",https://www.safcodental.com/product/hybenx-sup-reg-sup,"FDA-approved non-antibiotic cleanser and chemical desiccant that quickly eradicates biofilm from infected tissue surfaces without impacting healthy tissues. Safely debrides, coagulates, seals and reduces bleeding and pain, allowing the body to use its own defenses to promote natural healing.Antibiotic-free way to treat periodontal disease.Acts as a hemostatic.Flows easily into pits, furcations and deep pockets to effectively remove pathogens.Application takes seconds.Safe on dentin, enamel, porcelain and titanium.","[""https://www.safcodental.com/media/catalog/product/p/f/pfspp.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700""]",{},selector,1.0,[],2026-05-05T20:30:07.764249Z
Coe-Pak™ Automix NDS,GC America,PFSMW,82.99,USD,,in_stock,"[""Sutures & Surgical Products""]",https://www.safcodental.com/product/coe-pak-trade-automix-nds,"Non-eugenol surgical dressing and periodontal pack that has no burning sensation, no unpleasant taste, no disagreeable odor and offers proven protection to surgical sites. Extremely pliable and cohesive; ropes of any length or thickness can be formed. Sets with resilient, non-brittle hardness.","[""https://www.safcodental.com/media/catalog/product/p/f/pfsmw.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700""]",{},selector,1.0,[],2026-05-05T20:30:09.730962Z
Coe-Pak™,GC America,PFSJP,127.99,USD,,in_stock,"[""Sutures & Surgical Products""]",https://www.safcodental.com/product/coe-pak-trade,"Non-eugenol surgical dressing and periodontal pack that has no burning sensation, no unpleasant taste, no disagreeable odor and offers proven protection to surgical sites. Extremely plastic and cohesive; ropes of any length or thickness can be formed. Sets with resilient, non-brittle hardness.","[""https://www.safcodental.com/media/catalog/product/p/f/pfsjp.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700""]",{},selector,1.0,[],2026-05-05T20:30:14.542462Z
Barricaid®,Dentsply Sirona,PFSGL,178.49,USD,,in_stock,"[""Sutures & Surgical Products""]",https://www.safcodental.com/product/barricaid-reg,"Visible light cured periodontal dressing in a convenient syringe delivery system for direct placement onto the surgical site. Forms a firm, elastic covering. Translucent pink for superior esthetics. Tasteless.","[""https://www.safcodental.com/media/catalog/product/p/f/pfsgl.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700""]",{},selector,1.0,[],2026-05-05T20:30:16.682716Z
Surgicel®,Ethicon,PFPHJ,1118.99,USD,,in_stock,"[""Sutures & Surgical Products""]",https://www.safcodental.com/product/surgicel-reg,"Sterile, shear-weave, absorbable hemostat used to control bleeding in tooth extractions and oral surgery. Produced from oxidized regenerated cellulose to ensure purity and consistency. Fully absorbable within 7-14 days. Strong yet flexible and malleable to conform to irregular surfaces; may be folded or cut to size.","[""https://www.safcodental.com/media/catalog/product/p/f/pfphj.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700""]",{},selector,1.0,[],2026-05-05T20:30:18.934181Z
ORCA™ Foam,Orca Products,PFPFS,104.99,USD,,in_stock,"[""Sutures & Surgical Products""]",https://www.safcodental.com/product/orca-sup-trade-sup-foam,"Absorbable gelatin sponge hemostat, USP. Provides reliable and rapid hemostasis during dental surgical procedures.Offers fast and complete resorption in 3-7 days, no removal necessary.Ideal size for easy application.Absorbs up to 35x its weight.Aids in control of hemorrhage in surgical or extraction sites.Individually packaged, sterile cubes prevent cross-contamination.Excellent carrier medium for fluids such as antibiotics or ORCA Dry Socket.","[""https://www.safcodental.com/media/catalog/product/p/f/pfpfs.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700""]",{},selector,1.0,[],2026-05-05T20:30:21.062906Z
PeriAcryl® 90,GluStitch,PFPFR,146.99,USD,,in_stock,"[""Sutures & Surgical Products""]",https://www.safcodental.com/product/periacryl-reg-90,Cyanoacrylate oral tissue adhesive used in dental surgeries. High viscosity formula provides increased control for precision application and less waste. Hemostatic and bacteriostatic. Violet color.Refrigeration required; this product is stored under refrigeration at Safco.,"[""https://www.safcodental.com/media/catalog/product/p/f/pfpfr.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700""]",{},selector,1.0,[],2026-05-05T20:30:21.790075Z
Orca™ Dry Socket,Orca Products,PFPFQ,122.95,USD,,in_stock,"[""Sutures & Surgical Products""]",https://www.safcodental.com/product/orca-trade-dry-socket,"Non-medicated, clinically proven formula for relief from dry sockets and oral pain. Consists of essential oils and other natural ingredients. Place 8 to 10 drops onto a resorbable gelatin sponge or gauze strip directly to dry socket or areas of discomfort.","[""https://www.safcodental.com/media/catalog/product/p/f/pfpfq.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700""]",{},selector,1.0,[],2026-05-05T20:30:24.817244Z
HeliTape®,Integra Miltex,PFPFP,228.99,USD,,in_stock,"[""Sutures & Surgical Products""]",https://www.safcodental.com/product/helitape-reg,"Thin, soft, pliable collagen tape used for dressing minor wounds. Tape accelerates wound healing and is absorbed into the body after 10 to 14 days. Sterile and individually packaged.","[""https://www.safcodental.com/media/catalog/product/p/f/pfpfp.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700""]",{},selector,1.0,[],2026-05-05T20:30:27.175590Z
Integra® Miltex® HeliCote®,Integra Miltex,PFPFM,173.99,USD,,in_stock,"[""Sutures & Surgical Products""]",https://www.safcodental.com/product/integra-sup-reg-sup-miltex-sup-reg-sup-helicote-sup-reg-sup,"Collagen Wound DressingIntegra Miltex absorbable collagen wound dressing products are used to help control bleeding and protect the wound site in order for the healing process to begin. For application to moist or bleeding clean oral wounds created during dental surgery, and to protect the surface of the wound from further injury. Collagen wound dressing products are reabsorbed by the body within 10 to 14 days after placement. These collagen products are packaged in individual clam shells with an easy-to-peel backing, making it easy for clinicians to open packages during procedures.Helps control bleeding10 to 14 day absorptionSterile, individually packaged dressings","[""https://www.safcodental.com/media/catalog/product/p/f/pfpfm.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700""]",{},selector,1.0,[],2026-05-05T20:30:28.809013Z
ActCel,Coreva Health Sciences,PFPAJ,108.29,USD,,in_stock,"[""Sutures & Surgical Products""]",https://www.safcodental.com/product/actcel,Hemostatic non-resorbable gauze. For external use. Absorbs exudates such as blood or other bodily fluids. Easy to cut to any size or shape. Dispensed in individual sterile pouches.,"[""https://www.safcodental.com/media/catalog/product/p/f/pfpaj.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700""]",{},selector,1.0,[],2026-05-05T20:30:31.064166Z
Myco Medical Technocut® Disposable Scalpels,Myco Medical,PFLXA,8.99,USD,,in_stock,"[""Sutures & Surgical Products""]",https://www.safcodental.com/product/myco-medical-technocut-reg-disposable-scalpels,"Non-slip, clear shield improves safety and enables easy blade size identificationErgonomic, non-slip plastic handle with integrated metric ruler for convenienceScalpel blades produced from high-quality Swiss stainless steel100% automated inspection verifies the blade to handle attachmentCold-staking used for attaching blade to handle, improving consistencyScalpels manufactured in facilities that conform to ISO 13485","[""https://www.safcodental.com/media/catalog/product/p/f/pflxa.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700""]",{},selector,1.0,[],2026-05-05T20:30:33.084516Z
Myco Medical GLASSVAN® Scalpel Blades,Myco Medical,PFLWR,24.99,USD,,in_stock,"[""Sutures & Surgical Products""]",https://www.safcodental.com/product/myco-medical-nbsp-glassvan-reg-scalpel-blades,"GLASSVAN® Surgical Blades have been trusted by users around the world for more than 25 years.Automated grinding and proprietary polishing process ensure consistent, clean, and sharp cutting edgesProduced from high quality Swiss carbon steelTwo VCI strips ensure product and packaging integrity and reduce risk of blade piercing the foilManufactured in FDA-inspected facilities and conform to ISO-7740 and ISO-13485Carbon steel and stainless-steel blades are available sterile in sizes 10-25, with select sizes also available non-sterile.","[""https://www.safcodental.com/media/catalog/product/p/f/pflwr.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700""]",{},selector,1.0,[],2026-05-05T20:30:35.044448Z
Safety Scalpels,Integra Miltex,PFLVZ,38.49,USD,,in_stock,"[""Sutures & Surgical Products""]",https://www.safcodental.com/product/safety-scalpels,"Retractable blade scalpel offers ultimate safety.Sterile Stainless steel, razor-sharp cutting edge.Advance blade with slider in one motion.Blade locks into place with audible confirmation.Retract with one motion to protected position.Metric ruler on each scalpel.Individually packaged.","[""https://www.safcodental.com/media/catalog/product/p/f/pflvz.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700""]",{},selector,1.0,[],2026-05-05T20:30:36.809118Z
Disposable scalpels - Integra Miltex,Integra Miltex,PFLUN,19.49,USD,,in_stock,"[""Sutures & Surgical Products""]",https://www.safcodental.com/product/disposable-scalpels-integra-miltex,Sterile disposable scalpel; plastic handle with a stainless steel blade. Razor sharp for superior cutting and a clean incision.,"[""https://www.safcodental.com/media/catalog/product/p/f/pflun.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700""]",{},selector,1.0,[],2026-05-05T20:30:38.700933Z
Disposable scalpels - Bard-Parker (BD),Bard-Parker,PFLUG,18.99,USD,,in_stock,"[""Sutures & Surgical Products""]",https://www.safcodental.com/product/disposable-scalpels-bard-parker-bd,"Sterile disposable scalpel with a stainless steel blade. Intended for tissue separation, and other procedures that require a sharp surgical blade to puncture or cut.Offers the superior cutting advantages of stainless steel technology.Consistent sharpness, control and strength.Uniquely packaged for safety and ease of use.Sterile.Not made with natural rubber latex","[""https://www.safcodental.com/media/catalog/product/p/f/pflug.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700""]",{},selector,1.0,[],2026-05-05T20:30:39.896389Z
Surgical blades - Hu-Friedy,Hu-Friedy,PFLTA,94.99,USD,,in_stock,"[""Sutures & Surgical Products""]",https://www.safcodental.com/product/surgical-blades-hu-friedy,The Hu-Friedy surgical blades are single use carbon steel blades used for cutting gingival tissue and making surgical incisions. They are crafted from the finest materials for strength and durability. Both microsurgical and standard styles are offered to match clinician and procedural preferences.,"[""https://www.safcodental.com/media/catalog/product/p/f/pflta.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700""]",{},selector,1.0,[],2026-05-05T20:30:43.379688Z
Disposable scalpels,Queens Surgical,PFLSE,10.49,USD,,in_stock,"[""Sutures & Surgical Products""]",https://www.safcodental.com/product/disposable-scalpels,Sterile disposable scalpel; plastic handle with stainless steel blade.,"[""https://www.safcodental.com/media/catalog/product/p/f/pflse.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700""]",{},selector,1.0,[],2026-05-05T20:30:50.296385Z
"Myco Medical Glassvan® Microsurgical Blades, Carbon Steel",Myco Medical,PFLQT,8.49,USD,,in_stock,"[""Sutures & Surgical Products""]",https://www.safcodental.com/product/myco-medical-glassvan-reg-microsurgical-blades-carbon-steel,"GLASSVAN® surgical blades have been trusted by users around the world for more than 25 years.Automated grinding and proprietary polishing process ensure consistent, clean, and sharp cutting edgesProduced from high quality Swiss carbon steel.Two VCI strips ensure product and packaging integrity and reduce risk of blade piercing the foil.","[""https://www.safcodental.com/media/catalog/product/p/f/pflqt.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700""]",{},selector,1.0,[],2026-05-05T20:30:52.546030Z
Scalpel Handles - Hu-Friedy,Hu-Friedy,PFLNB,37.99,USD,,in_stock,"[""Sutures & Surgical Products""]",https://www.safcodental.com/product/scalpel-handles-hu-friedy,The #3 style scalpel handle with metric ruler is used for cutting gingival tissue and making surgical incisions.The #5 Offset Angle Scalpel handle design is ideal for posterior and palatal areas with a 30 degree angleThe #5 European Round Scalpel Blade Handle is used for cutting gingival tissue and making surgical incisions. The round scalpel handle provides greater rotational movement with fingertip control and enhances dexterity.The #5 Straight Round Scalpel Blade Handle is used for cutting gingival tissue and making surgical incisions.,"[""https://www.safcodental.com/media/catalog/product/p/f/pflnb.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700""]",{},selector,1.0,[],2026-05-05T20:30:54.302929Z
Surgical blade handles - Bard-Parker (BD),Bard-Parker,PFLMA,32.59,USD,,in_stock,"[""Sutures & Surgical Products""]",https://www.safcodental.com/product/surgical-blade-handles-bard-parker-bd,"Stainless steel. Handles are intended to be used for tissue separation, and other procedures that require a sharp surgical blade to puncture or cut.Consistent sharpness, control and strength surgeons demand.Uniquely packaged for safety and ease of use.Nonsterile.Sizes 3 fit blades sizes 10-15.Size 4 fits blade sizes 20-25.","[""https://www.safcodental.com/media/catalog/product/p/f/pflma.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700""]",{},selector,1.0,[],2026-05-05T20:30:56.067933Z
Surgical blades,Queens Surgical,PFLJQ,16.99,USD,,in_stock,"[""Sutures & Surgical Products""]",https://www.safcodental.com/product/surgical-blades,"Box of 100 single-use blades, in sterile foil packs.","[""https://www.safcodental.com/media/catalog/product/p/f/pfljq.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700""]",{},selector,1.0,[],2026-05-05T20:30:58.628768Z
Aquasoft,Halyard,DRCBT,31.49,USD,,in_stock,"[""Dental Exam Gloves""]",https://www.safcodental.com/product/aquasoft,"Powder-free nitrile exam gloves.Ultra-thin with a silky, snug fit. Easy to don.Textured fingertip finishBeaded cuffChlorinatedAmbidextrousBlueThickness: at palm 2.8mils; at fingertips 3.1 mils300 gloves per boxOrder 10 boxes to purchase a case","[""https://www.safcodental.com/media/catalog/product/d/r/drcbt.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700""]",{},selector,1.0,[],2026-05-05T20:31:04.213612Z
BeeSure SuperSlim Nitrile,EcoBee,DRCBO,19.99,USD,,in_stock,"[""Dental Exam Gloves""]",https://www.safcodental.com/product/beesure-reg-superslim-trade-nitrile,Powder-free nitrile exam gloves.Super soft and stretchy for comfortable extended wear.Textured fingertip finishBeaded cuffNon-chlorinatedAmbidextrousCobalt blue colorThickness: at palm 2.0 mils; at fingertips 2.0 mils300 gloves per boxOrder 10 boxes to purchase a case,"[""https://www.safcodental.com/media/catalog/product/d/r/drcbo.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700""]",{},selector,1.0,[],2026-05-05T20:31:06.120850Z
Microflex Ultraform,Ansell,DRCBJ,33.49,USD,,in_stock,"[""Dental Exam Gloves""]",https://www.safcodental.com/product/microflex-sup-reg-sup-ultraform-sup-trade-sup,Powder-free nitrile exam gloves.Ultra-soft and form fitting.Textured fingertip finishBeaded cuffChlorinatedAmbidextrousCobalt blue colorThickness: at palm 2.0 mils; at fingertip 3.1 mils300 gloves per box (250 for x-large)Order 10 boxes to purchase a case,"[""https://www.safcodental.com/media/catalog/product/d/r/drcbj.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700""]",{},selector,1.0,[],2026-05-05T20:31:08.347438Z
Lavender Nitrile,Halyard,DRCAS,28.99,USD,,in_stock,"[""Dental Exam Gloves""]",https://www.safcodental.com/product/lavender-nitrile,Powder-free nitrile exam gloves.Soft and strong; one of the thinnest nitrile gloves on the market. Thicker and longer cuff!Textured fingertipsBeaded cuffLow dermatitis potentialAmbidextrousLavender colorThickness: at palm 2.0 mils; at fingertip 2.8 mils250 gloves per box (230 for x-large)Order 10 boxes to purchase a case,"[""https://www.safcodental.com/media/catalog/product/d/r/drcas.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700""]",{},selector,1.0,[],2026-05-05T20:31:10.097135Z
Alasta,Dash,DRCAN,10.49,USD,,in_stock,"[""Dental Exam Gloves""]",https://www.safcodental.com/product/alasta-sup-reg-sup,Soft-Fit™ powder-free nitrile exam gloves.Textured whole hand finishBeaded cuffNon-chlorinatedAmbidextrousBlue colorThickness: at palm 3.1 mils; at fingertip 3.9 mils; ± 1.2Order 10 boxes to purchase a case,"[""https://www.safcodental.com/media/catalog/product/d/r/drcan.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700""]",{},selector,1.0,[],2026-05-05T20:31:12.224955Z
Aurelia Amazing,Supermax,DRCBM,20.99,USD,,in_stock,"[""Dental Exam Gloves""]",https://www.safcodental.com/product/aurelia-reg-amazing-reg,Powder-free nitrile exam gloves.Thinner and more flexible than standard nitrile.Textured fingertip finishBeaded cuffChlorinatedAmbidextrousPurple colorThickness: at palm 2.0 mils; at fingertips 3.0 mils300 gloves per box (270 for x-large)Order 10 boxes to purchase a case,"[""https://www.safcodental.com/media/catalog/product/d/r/drcbm.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700""]",{},selector,1.0,[],2026-05-05T20:31:14.709663Z
Aqua Source,Cranberry,DRCBL,19.99,USD,,in_stock,"[""Dental Exam Gloves""]",https://www.safcodental.com/product/aqua-source-reg,Powder-free nitrile exam gloves.Natural form-fitting gloves coated with lanolin and Vitamin E.Textured whole hand finishBeaded cuffChlorinatedAmbidextrousAqua colorThickness: at palm 3.2 mils; at fingertips 4.0 mils200 gloves per boxOrder 10 boxes to purchase a case,"[""https://www.safcodental.com/media/catalog/product/d/r/drcbl_2.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700""]",{},selector,1.0,[],2026-05-05T20:31:16.130631Z
Xlim,Cranberry,DRCAJ,8.99,USD,,in_stock,"[""Dental Exam Gloves""]",https://www.safcodental.com/product/xlim-reg,Powder-free nitrile exam gloves.Textured fingertip finishBeaded cuffNon-chlorinatedAmbidextrousBlue colorThickness: at palm 2.4 mils; at fingertip 3.2 mils100 gloves per boxOrder 10 boxes to purchase a case,"[""https://www.safcodental.com/media/catalog/product/d/r/drcaj_2.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700""]",{},selector,1.0,[],2026-05-05T20:31:18.197691Z
Aurelia Vibrant,Supermax,DRBAS,7.99,USD,,in_stock,"[""Dental Exam Gloves""]",https://www.safcodental.com/product/aurelia-reg-vibrant-trade,Powder-free latex exam gloves.Micro-textured finishBeaded cuffChlorinatedAmbidextrous50μg or less of latex proteinNatural color100 gloves per boxOrder 10 boxes to purchase a case,"[""https://www.safcodental.com/media/catalog/product/d/r/drbas.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700""]",{},selector,1.0,[],2026-05-05T20:31:20.302127Z
Compac Nitrile,Cranberry,DRCDM,8.49,USD,,in_stock,"[""Dental Exam Gloves""]",https://www.safcodental.com/product/compac-nitrile,"The unique polybag storage design provides up to 2x greater packing efficiency compared to traditional glove boxes, helping optimize space in clinical environments. A secure single-glove dispensing system supports faster and more efficient patient care preparation, while the cuff-first dispensing method helps reduce cross-contamination by up to 89% and minimizes unnecessary touch points.Fingertip texturedAmbidextrousNon-sterile100 gloves per bag20 bags per case","[""https://www.safcodental.com/media/catalog/product/c/r/cranberry_drcdm_4710154.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700""]",{},selector,1.0,[],2026-05-05T20:31:22.261683Z
RevoSoft,Cranberry,DRCCR,22.99,USD,,in_stock,"[""Dental Exam Gloves""]",https://www.safcodental.com/product/revosoft-reg-nitrile-gloves,"Nitrile powder-free exam gloves.Unique nitrile formulation created for enhanced ease of use, softness, and fit. Improved fingertip texture offers superior handling and control.Textured fingertip finishBeaded cuffAmbidextrousBlue colorThickness: at palm 2.0 mils; at fingertip 2.8 milsOrder 10 boxes to purchase a case","[""https://www.safcodental.com/media/catalog/product/d/r/drccr_2.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700""]",{},selector,1.0,[],2026-05-05T20:31:24.322491Z
Crave,Cranberry,DRCCA,19.49,USD,,in_stock,"[""Dental Exam Gloves""]",https://www.safcodental.com/product/crave-trade,Powder-free nitrile exam glove with lanolin and Vitamin E.Textured fingertip finishBeaded cuffNon-chlorinatedAmbidextrousBlue colorVitamin E and lanolin coatedThickness: at palm 3.5 mils; at fingertip 3.8 mils200 gloves per boxOrder 10 boxes to purchase a case,"[""https://www.safcodental.com/media/catalog/product/d/r/drcca_2.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700""]",{},selector,1.0,[],2026-05-05T20:31:26.193220Z
Safco Nitrilex Black,Safco,DRCCX,13.29,USD,,in_stock,"[""Dental Exam Gloves""]",https://www.safcodental.com/product/safco-nitrilex-black,Powder-free nitrile exam gloves.Our strongest and thinnest nitrile glove yet. Designed to preserve the sensitivity you have come to expect from the Nitrilex line of gloves.Textured fingertip finishBeaded cuffNon-chlorinatedAmbidextreousBlack colorPolymer coated for easy donningThickness: at palm 2.0 mils; at fingertip 2.3 mils200 gloves per boxOrder 10 boxes to purchase a case,"[""https://www.safcodental.com/media/catalog/product/d/r/drccx.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700""]",{},selector,1.0,[],2026-05-05T20:31:28.322944Z
Halyard Black Nitrile,Halyard,DRCDL,8.29,USD,,in_stock,"[""Dental Exam Gloves""]",https://www.safcodental.com/product/halyard-black-nitrile,"HALYARD* Black Nitrile Exam Gloves deliver dependable protection and professional performance for dental professionals. Perfect for clinical and hygiene procedures, these nitrile gloves provide excellent tactile sensitivity and a secure grip with textured fingertips for confident instrument handling. The sleek black color conceals stains, maintaining a clean, modern look in any dental setting. Each box contains 100 gloves in a SMARTPULL* Dispenser designed to reduce waste, improve efficiency, and save valuable operatory space.","[""https://www.safcodental.com/media/catalog/product/d/r/drcdl.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700""]",{},selector,1.0,[],2026-05-05T20:31:30.515075Z
Alasta Pro,Dash,DRCDK,23.49,USD,,in_stock,"[""Dental Exam Gloves""]",https://www.safcodental.com/product/alasta-pro,"Make glove changes faster and easier with Alasta® PRO nitrile dental exam gloves, featuring innovative Glide Assist™ technology that helps you slide into gloves effortlessly — even with damp hands. Designed for dental professionals, the Soft Fit™ formulation provides a comfortable, form-fitting feel that enhances dexterity during procedures.The professional medical blue color offers a clean, clinical look that complements any operatory setting. Alasta® PRO gloves are fentanyl-tested and chemo-approved, ensuring trusted protection for use in high-risk or clinical dental environments.Each box contains 200 premium nitrile gloves, offering exceptional value and efficiency for busy dental practices.","[""https://www.safcodental.com/media/catalog/product/d/r/drcdk.jpg?optimize=medium&fit=bounds&height=700&width=700&canvas=700:700""]",{},selector,1.0,[],2026-05-05T20:31:32.598066Z
